id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,24,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,24,personal test,0.685
2,Testen,Persoonlijkheidstest,verschillende persoonlijkheden,different personalities,209,different personalities,1.000
3,Testen,Persoonlijkheidstest,persoonlijkheidstypen kleuren,personality types coloring,181,personality types coloring,1.000
4,Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,personality test psychology,15,personality test psychology,1.000
5,Testen,Persoonlijkheidstest,persoonlijkheidsvragenlijst,personality questionnaire,142,personality questionnaire,1.000
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,24,personal test,0.511
7,Testen,Persoonlijkheidstest,persoonlijkheid kenmerken,personality traits,248,personality traits,1.000
8,Testen,disc,disc persoonlijkheidstest,disc personality test,254,disc personality test,1.000
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,208,personality test jung,0.989
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,24,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,24,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,208,personality test jung,1.000
13,Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,big five personality model,92,big five personality model,1.000
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,24,personal test,0.965
15,Testen,Persoonlijkheidstest,disc persoonlijkheid,disc personality,111,disc personality,1.000
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,24,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,319,thomas personality test,1.000
18,Testen,Persoonlijkheidstest,persoonlijk profiel analyse,personal profile analysis,271,personal profile analysis,1.000
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,24,personal test,0.514
20,Testen,Persoonlijkheidstest,persoonlijke kwaliteiten test,personal qualities test,337,personal qualities test,1.000
21,Testen,Persoonlijkheidstest,zelftest persoonlijkheid,self test personality,24,personal test,0.673
22,Testen,Persoonlijkheidstest,sterke punten persoonlijkheid,strengths personality,257,strengths personality,1.000
23,Testen,Persoonlijkheidstest,persoonlijkheidstesten soorten,personality tests types,24,personal test,0.522
24,Testen,Gedrag,gedragsstijlen test,behavioral style test,224,behavioral style test,1.000
25,Testen,Gedrag,test je gedrag,test your behavior,120,test your behavior,1.000
26,Testen,Redeneren,abstract redeneervermogen,abstract reasoning ability,223,abstract reasoning ability,1.000
27,Testen,Redeneren,abstract redeneren,abstract reasoning,11,abstract reasoning,1.000
28,Testen,Redeneren,numeriek redeneren,numerical reasoning,83,numerical reasoning,1.000
29,Testen,Redeneren,inductief redeneren,inductive reasoning,47,inductive reasoning,1.000
30,Testen,Redeneren,redeneertesten,reasoning tests,51,reasoning tests,1.000
31,Testen,Redeneren,deductief redeneren,deductive reasoning,183,deductive reasoning,1.000
32,Testen,Redeneren,test abstract redeneervermogen,test abstract reasoning ability,223,abstract reasoning ability,0.867
33,Testen,Redeneren,numeriek redeneervermogen,numerical reasoning ability,83,numerical reasoning,0.891
34,Testen,Redeneren,verbaal redeneervermogen,verbal reasoning ability,82, verbal reasoning,0.869
35,Testen,Redeneren,redeneren betekenis,reason meaning,75,reason meaning,1.000
36,Testen,Redeneren,deductief redeneren test,deductive reasoning test,51,reasoning tests,0.819
37,Testen,Redeneren,abstract redeneren hudson,abstract reasoning hudson,140,abstract reasoning hudson,1.000
38,Testen,Redeneren,redenering betekenis,reasoning meaning,75,reason meaning,0.636
