id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,18,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,18,personal test,0.685
2,Testen,Persoonlijkheidstest,verschillende persoonlijkheden,different personalities,18,personal test,0.278
3,Testen,Persoonlijkheidstest,persoonlijkheidstypen kleuren,personality types coloring,18,personal test,0.173
4,Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,personality test psychology,18,personal test,0.610
5,Testen,Persoonlijkheidstest,persoonlijkheidsvragenlijst,personality questionnaire,18,personal test,0.437
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,18,personal test,0.511
7,Testen,Persoonlijkheidstest,persoonlijkheid kenmerken,personality traits,18,personal test,0.294
8,Testen,disc,disc persoonlijkheidstest,disc personality test,7,disc test,0.761
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,18,personal test,0.515
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,18,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,18,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,18,personal test,0.489
13,Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,big five personality model,18,personal test,0.199
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,18,personal test,0.965
15,Testen,Persoonlijkheidstest,disc persoonlijkheid,disc personality,36,disc personality,1.000
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,18,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,18,personal test,0.510
18,Testen,profielanalyse,persoonlijk profiel analyse,personal profile analysis,30,profile analysis,0.845
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,18,personal test,0.514
20,Testen,Persoonlijkheidstest,persoonlijke kwaliteiten test,personal qualities test,18,personal test,0.675
21,Testen,Persoonlijkheidstest,zelftest persoonlijkheid,self test personality,18,personal test,0.673
22,Testen,Persoonlijkheidstest,sterke punten persoonlijkheid,strengths personality,18,personal test,0.269
23,Testen,Persoonlijkheidstest,persoonlijkheidstesten soorten,personality tests types,18,personal test,0.522
24,Testen,Intelligentie,gedragsstijlen test,behavioral style test,1,test intelligence,0.403
25,Testen,Intelligentie,test je gedrag,test your behavior,1,test intelligence,0.439
