id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,110,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,110,personal test,0.685
2,Training en ontwikkeling,persoonlijke ontwikkeling,verschillende persoonlijkheden,different personalities,9,describe personal development,0.424
3,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijkheidstypen kleuren,personality types coloring,9,describe personal development,0.300
4,Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,personality test psychology,110,personal test,0.610
5,Evaluatie,vragen,persoonlijkheidsvragenlijst,personality questionnaire,16,feedback questionnaire,0.626
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,110,personal test,0.511
7,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijkheid kenmerken,personality traits,9,describe personal development,0.491
8,Testen,Persoonlijkheidstest,disc persoonlijkheidstest,disc personality test,61,disc personality,0.842
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,1,personality test jung,0.989
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,110,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,110,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,1,personality test jung,1.000
13,Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,big five personality model,116,big five personality model,1.000
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,110,personal test,0.965
15,Testen,Persoonlijkheidstest,disc persoonlijkheid,disc personality,61,disc personality,1.000
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,110,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,110,personal test,0.510
18,Testen,profielanalyse,persoonlijk profiel analyse,personal profile analysis,45,profile analysis,0.845
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,110,personal test,0.514
20,Testen,Persoonlijkheidstest,persoonlijke kwaliteiten test,personal qualities test,110,personal test,0.675
21,Testen,Persoonlijkheidstest,zelftest persoonlijkheid,self test personality,110,personal test,0.673
22,Training en ontwikkeling,persoonlijke ontwikkeling,sterke punten persoonlijkheid,strengths personality,9,describe personal development,0.382
23,Testen,Persoonlijkheidstest,persoonlijkheidstesten soorten,personality tests types,110,personal test,0.522
24,Testen,Gedrag,gedragsstijlen test,behavioral style test,112,test your behavior,0.619
25,Testen,Gedrag,test je gedrag,test your behavior,112,test your behavior,1.000
26,Testen,Redeneren,abstract redeneervermogen,abstract reasoning ability,25,abstract reasoning,0.878
27,Testen,Redeneren,abstract redeneren,abstract reasoning,25,abstract reasoning,1.000
28,Testen,Redeneren,numeriek redeneren,numerical reasoning,0,numerical reasoning meaning,0.850
29,Testen,Redeneren,inductief redeneren,inductive reasoning,98,inductive reasoning,1.000
30,Testen,Redeneren,redeneertesten,reasoning tests,124,reasoning tests,1.000
31,Testen,Redeneren,deductief redeneren,deductive reasoning,0,numerical reasoning meaning,0.436
32,Testen,Redeneren,test abstract redeneervermogen,test abstract reasoning ability,25,abstract reasoning,0.757
33,Testen,Redeneren,numeriek redeneervermogen,numerical reasoning ability,0,numerical reasoning meaning,0.792
34,Testen,Redeneren,verbaal redeneervermogen,verbal reasoning ability,127, verbal reasoning,0.869
35,Testen,Redeneren,redeneren betekenis,reason meaning,31,reason meaning,1.000
36,Testen,Redeneren,deductief redeneren test,deductive reasoning test,124,reasoning tests,0.819
37,Testen,Redeneren,abstract redeneren hudson,abstract reasoning hudson,25,abstract reasoning,0.730
38,Testen,Redeneren,redenering betekenis,reasoning meaning,31,reason meaning,0.636
39,Testen,Redeneren,test logisch redeneren,test logical reasoning,124,reasoning tests,0.879
40,Testen,Redeneren,verbaal redeneren oefenen,practice verbal reasoning,127, verbal reasoning,0.890
41,Testen,Redeneren,test inductief redeneren,test inductive reasoning,98,inductive reasoning,0.862
42,Testen,Redeneren,abstract redeneren waarom,abstract reasoning ,25,abstract reasoning,1.000
43,Testen,Redeneren,test abstract redeneervermogen boek,test abstract reasoning book,25,abstract reasoning,0.682
44,Testen,Redeneren,abstract redeneervermogen hudson,abstract reasoning hudson,25,abstract reasoning,0.730
45,Testen,Redeneren,redeneringstesten oefenen,practice reasoning tests,124,reasoning tests,0.927
46,Testen,Redeneren,numeriek redeneren hudson,numerical reasoning hudson,0,numerical reasoning meaning,0.607
47,Testen,Redeneren,numerieke reeksen oefenen,practice numerical sequences,97,practice numerical sequences,1.000
48,Testen,Redeneren,verbaal redeneren test,verbal reasoning test,17,verbal reasoning test,1.000
49,Testen,Redeneren,wat is verbaal redeneren, verbal reasoning,127, verbal reasoning,1.000
50,Testen,Redeneren,verbaal abstract redeneren betekenis,verbal abstract reasoning meaning,25,abstract reasoning,0.780
