id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,43,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,43,personal test,0.685
2,Testen,Persoonlijkheidstest,verschillende persoonlijkheden,different personalities,205,different personalities,1.000
3,Testen,Persoonlijkheidstest,persoonlijkheidstypen kleuren,personality types coloring,158,personality types coloring,1.000
4,Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,personality test psychology,33,personality test psychology,1.000
5,Testen,Persoonlijkheidstest,persoonlijkheidsvragenlijst,personality questionnaire,225,personality questionnaire,1.000
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,43,personal test,0.511
7,Testen,Persoonlijkheidstest,persoonlijkheid kenmerken,personality traits,186,personality traits,1.000
8,Testen,disc,disc persoonlijkheidstest,disc personality test,181,disc personality test,1.000
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,230,personality test jung,0.989
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,43,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,43,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,230,personality test jung,1.000
13,Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,big five personality model,120,big five personality model,1.000
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,43,personal test,0.965
15,Testen,Persoonlijkheidstest,disc persoonlijkheid,disc personality,9,disc personality,1.000
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,43,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,43,personal test,0.510
18,Testen,profielanalyse,persoonlijk profiel analyse,personal profile analysis,55,profile analysis,0.845
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,43,personal test,0.514
20,Testen,Persoonlijkheidstest,persoonlijke kwaliteiten test,personal qualities test,43,personal test,0.675
21,Testen,Persoonlijkheidstest,zelftest persoonlijkheid,self test personality,43,personal test,0.673
22,Testen,Persoonlijkheidstest,sterke punten persoonlijkheid,strengths personality,9,disc personality,0.429
23,Testen,Persoonlijkheidstest,persoonlijkheidstesten soorten,personality tests types,43,personal test,0.522
24,Testen,Gedrag,gedragsstijlen test,behavioral style test,101,behavioral style test,1.000
25,Testen,Gedrag,test je gedrag,test your behavior,193,test your behavior,1.000
26,Testen,Redeneren,abstract redeneervermogen,abstract reasoning ability,15,abstract reasoning,0.878
27,Testen,Redeneren,abstract redeneren,abstract reasoning,15,abstract reasoning,1.000
