id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,7,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,7,personal test,0.685
2,Training en ontwikkeling,persoonlijke ontwikkeling,verschillende persoonlijkheden,different personalities,1,describe personal development,0.424
3,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijkheidstypen kleuren,personality types coloring,1,describe personal development,0.300
4,Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,personality test psychology,7,personal test,0.610
5,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijkheidsvragenlijst,personality questionnaire,1,describe personal development,0.447
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,7,personal test,0.511
7,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijkheid kenmerken,personality traits,1,describe personal development,0.491
8,Testen,disc,disc persoonlijkheidstest,disc personality test,5,disc test,0.761
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,7,personal test,0.515
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,7,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,7,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,7,personal test,0.489
13,Training en ontwikkeling,persoonlijke ontwikkeling,big five persoonlijkheidsmodel,big five personality model,1,describe personal development,0.340
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,7,personal test,0.965
15,Testen,disc,disc persoonlijkheid,disc personality,5,disc test,0.572
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,7,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,7,personal test,0.510
18,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijk profiel analyse,personal profile analysis,1,describe personal development,0.468
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,7,personal test,0.514
20,Testen,Persoonlijkheidstest,persoonlijke kwaliteiten test,personal qualities test,7,personal test,0.675
21,Testen,Persoonlijkheidstest,zelftest persoonlijkheid,self test personality,7,personal test,0.673
22,Training en ontwikkeling,persoonlijke ontwikkeling,sterke punten persoonlijkheid,strengths personality,1,describe personal development,0.382
23,Testen,Persoonlijkheidstest,persoonlijkheidstesten soorten,personality tests types,7,personal test,0.522
