id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,10,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,10,personal test,0.685
2,Testen,Persoonlijkheidstest,verschillende persoonlijkheden,different personalities,10,personal test,0.278
3,Testen,Persoonlijkheidstest,persoonlijkheidstypen kleuren,personality types coloring,10,personal test,0.173
4,Testen,psychologie,persoonlijkheidstest psychologie,personality test psychology,118,psychological tests,0.773
5,Evaluatie,vragen,persoonlijkheidsvragenlijst,personality questionnaire,33,feedback questionnaire,0.626
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,10,personal test,0.511
7,Testen,Persoonlijkheidstest,persoonlijkheid kenmerken,personality traits,10,personal test,0.294
8,Testen,disc,disc persoonlijkheidstest,disc personality test,172,disc personality test,1.000
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,10,personal test,0.515
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,10,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,10,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,10,personal test,0.489
13,Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,big five personality model,121,big five personality model,1.000
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,10,personal test,0.965
15,Testen,Persoonlijkheidstest,disc persoonlijkheid,disc personality,99,disc personality,1.000
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,10,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,10,personal test,0.510
18,Testen,profielanalyse,persoonlijk profiel analyse,personal profile analysis,14,profile analysis,0.845
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,10,personal test,0.514
20,Testen,Persoonlijkheidstest,persoonlijke kwaliteiten test,personal qualities test,10,personal test,0.675
21,Testen,Persoonlijkheidstest,zelftest persoonlijkheid,self test personality,10,personal test,0.673
22,Testen,Persoonlijkheidstest,sterke punten persoonlijkheid,strengths personality,10,personal test,0.269
23,Testen,Persoonlijkheidstest,persoonlijkheidstesten soorten,personality tests types,10,personal test,0.522
24,Testen,Gedrag,gedragsstijlen test,behavioral style test,21,behavioral style test,1.000
25,Testen,Gedrag,test je gedrag,test your behavior,146,test your behavior,1.000
26,Testen,Redeneren,abstract redeneervermogen,abstract reasoning ability,168,abstract reasoning ability,1.000
27,Testen,Redeneren,abstract redeneren,abstract reasoning,171,abstract reasoning,1.000
28,Testen,Redeneren,numeriek redeneren,numerical reasoning,17,reason meaning,0.202
