id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,63,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,63,personal test,0.685
2,Testen,Persoonlijkheidstest,verschillende persoonlijkheden,different personalities,6,different personalities,1.000
3,Testen,Persoonlijkheidstest,persoonlijkheidstypen kleuren,personality types coloring,6,different personalities,0.536
4,Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,personality test psychology,63,personal test,0.610
5,Testen,Persoonlijkheidstest,persoonlijkheidsvragenlijst,personality questionnaire,6,different personalities,0.570
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,63,personal test,0.511
7,Testen,Persoonlijkheidstest,persoonlijkheid kenmerken,personality traits,6,different personalities,0.696
8,Testen,disc,disc persoonlijkheidstest,disc personality test,13,disc personality test,1.000
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,63,personal test,0.515
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,63,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,63,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,63,personal test,0.489
13,Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,big five personality model,6,different personalities,0.535
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,63,personal test,0.965
15,Testen,Persoonlijkheidstest,disc persoonlijkheid,disc personality,17,disc personality,1.000
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,63,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,63,personal test,0.510
18,Testen,profielanalyse,persoonlijk profiel analyse,personal profile analysis,76,profile analysis,0.845
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,63,personal test,0.514
20,Testen,Persoonlijkheidstest,persoonlijke kwaliteiten test,personal qualities test,63,personal test,0.675
21,Testen,Persoonlijkheidstest,zelftest persoonlijkheid,self test personality,63,personal test,0.673
22,Testen,Persoonlijkheidstest,sterke punten persoonlijkheid,strengths personality,6,different personalities,0.534
23,Testen,Persoonlijkheidstest,persoonlijkheidstesten soorten,personality tests types,63,personal test,0.522
24,Testen,Intelligentie,gedragsstijlen test,behavioral style test,3,iq test,0.277
25,Testen,Intelligentie,test je gedrag,test your behavior,3,iq test,0.331
26,Testen,Redeneren,abstract redeneervermogen,abstract reasoning ability,24,abstract reasoning,0.878
27,Testen,Redeneren,abstract redeneren,abstract reasoning,24,abstract reasoning,1.000
28,Testen,Redeneren,numeriek redeneren,numerical reasoning,91,numerical reasoning,1.000
29,Testen,Redeneren,inductief redeneren,inductive reasoning,89,inductive reasoning,1.000
30,Testen,Redeneren,redeneertesten,reasoning tests,30,reasoning tests,1.000
31,Testen,Redeneren,deductief redeneren,deductive reasoning,30,reasoning tests,0.651
32,Testen,Redeneren,test abstract redeneervermogen,test abstract reasoning ability,30,reasoning tests,0.796
33,Testen,Redeneren,numeriek redeneervermogen,numerical reasoning ability,91,numerical reasoning,0.891
34,Testen,Redeneren,verbaal redeneervermogen,verbal reasoning ability,0, verbal reasoning,0.869
35,Testen,Redeneren,redeneren betekenis,reason meaning,66,reason meaning,1.000
36,Testen,Redeneren,deductief redeneren test,deductive reasoning test,30,reasoning tests,0.819
37,Testen,Redeneren,abstract redeneren hudson,abstract reasoning hudson,24,abstract reasoning,0.730
38,Testen,Redeneren,redenering betekenis,reasoning meaning,66,reason meaning,0.636
39,Testen,Redeneren,test logisch redeneren,test logical reasoning,30,reasoning tests,0.879
40,Testen,Redeneren,verbaal redeneren oefenen,practice verbal reasoning,0, verbal reasoning,0.890
41,Testen,Redeneren,test inductief redeneren,test inductive reasoning,30,reasoning tests,0.741
42,Testen,Redeneren,abstract redeneren waarom,abstract reasoning ,24,abstract reasoning,1.000
43,Testen,Redeneren,test abstract redeneervermogen boek,test abstract reasoning book,30,reasoning tests,0.668
44,Testen,Redeneren,abstract redeneervermogen hudson,abstract reasoning hudson,24,abstract reasoning,0.730
45,Testen,Redeneren,redeneringstesten oefenen,practice reasoning tests,30,reasoning tests,0.927
