id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,65,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,65,personal test,0.685
2,Testen,Persoonlijkheidstest,verschillende persoonlijkheden,different personalities,5,personality questionnaire,0.570
3,Testen,Persoonlijkheidstest,persoonlijkheidstypen kleuren,personality types coloring,5,personality questionnaire,0.442
4,Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,personality test psychology,65,personal test,0.610
5,Testen,Persoonlijkheidstest,persoonlijkheidsvragenlijst,personality questionnaire,5,personality questionnaire,1.000
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,65,personal test,0.511
7,Testen,Persoonlijkheidstest,persoonlijkheid kenmerken,personality traits,5,personality questionnaire,0.729
8,Testen,disc,disc persoonlijkheidstest,disc personality test,26,disc test,0.761
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,65,personal test,0.515
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,65,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,65,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,65,personal test,0.489
13,Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,big five personality model,5,personality questionnaire,0.561
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,65,personal test,0.965
15,Testen,disc,disc persoonlijkheid,disc personality,26,disc test,0.572
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,65,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,65,personal test,0.510
18,Testen,profielanalyse,persoonlijk profiel analyse,personal profile analysis,46,profile analysis,0.845
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,65,personal test,0.514
20,Testen,Persoonlijkheidstest,persoonlijke kwaliteiten test,personal qualities test,65,personal test,0.675
