id,Topic,SubTopic,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,Testen,Persoonlijkheidstest,persoonlijkheidstests,personality tests,15,personal test,0.639
1,Testen,Persoonlijkheidstest,persoonlijkheidstest,personality test,15,personal test,0.685
2,Testen,Persoonlijkheidstest,verschillende persoonlijkheden,different personalities,233,different personalities,1.000
3,Testen,Persoonlijkheidstest,persoonlijkheidstypen kleuren,personality types coloring,146,personality types coloring,1.000
4,Testen,Persoonlijkheidstest,persoonlijkheidstest psychologie,personality test psychology,15,personal test,0.610
5,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijkheidsvragenlijst,personality questionnaire,3,describe personal development,0.447
6,Testen,Persoonlijkheidstest,persoonlijkheidstest mbti,personality test mbti,15,personal test,0.511
7,Training en ontwikkeling,persoonlijke ontwikkeling,persoonlijkheid kenmerken,personality traits,3,describe personal development,0.491
8,Testen,Persoonlijkheidstest,disc persoonlijkheidstest,disc personality test,15,personal test,0.525
9,Testen,Persoonlijkheidstest,jung persoonlijkheidstest,jung personality test,10,personality test jung,0.989
10,Testen,Persoonlijkheidstest,personaliteits test,personality test,15,personal test,0.685
11,Testen,Persoonlijkheidstest,persoonlijk test,personal test,15,personal test,1.000
12,Testen,Persoonlijkheidstest,persoonlijkheidstest jung,personality test jung,10,personality test jung,1.000
13,Testen,Persoonlijkheidstest,big five persoonlijkheidsmodel,big five personality model,113,big five personality model,1.000
14,Testen,Persoonlijkheidstest,persoonlijke testen,personal tests,15,personal test,0.965
15,Testen,Persoonlijkheidstest,disc persoonlijkheid,disc personality,111,disc personality,1.000
16,Testen,Persoonlijkheidstest,online persoonlijkheidstest,online personality test,15,personal test,0.570
17,Testen,Persoonlijkheidstest,thomas test persoonlijkheid,thomas personality test,15,personal test,0.510
18,Testen,profielanalyse,persoonlijk profiel analyse,personal profile analysis,145,profile analysis,0.845
19,Testen,Persoonlijkheidstest,disk persoonlijkheidstest,disk personality test,15,personal test,0.514
20,Testen,Persoonlijkheidstest,persoonlijke kwaliteiten test,personal qualities test,15,personal test,0.675
21,Testen,Persoonlijkheidstest,zelftest persoonlijkheid,self test personality,15,personal test,0.673
22,Testen,Persoonlijkheidstest,sterke punten persoonlijkheid,strengths personality,197,strengths personality,1.000
23,Testen,Persoonlijkheidstest,persoonlijkheidstesten soorten,personality tests types,15,personal test,0.522
24,Testen,Gedrag,gedragsstijlen test,behavioral style test,36,behavioral style test,1.000
25,Testen,Gedrag,test je gedrag,test your behavior,166,test your behavior,1.000
