id,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,persoonlijkheidstests,personality tests,21,personal test,0.639
1,persoonlijkheidstest,personality test,21,personal test,0.685
2,verschillende persoonlijkheden,different personalities,4,describe personal development,0.424
3,persoonlijkheidstypen kleuren,personality types coloring,4,describe personal development,0.300
4,persoonlijkheidstest psychologie,personality test psychology,21,personal test,0.610
5,persoonlijkheidsvragenlijst,personality questionnaire,15,feedback questionnaire,0.626
6,persoonlijkheidstest mbti,personality test mbti,21,personal test,0.511
7,persoonlijkheid kenmerken,personality traits,4,describe personal development,0.491
8,disc persoonlijkheidstest,disc personality test,12,disc test,0.761
9,jung persoonlijkheidstest,jung personality test,21,personal test,0.515
10,personaliteits test,personality test,21,personal test,0.685
11,persoonlijk test,personal test,21,personal test,1.000
12,persoonlijkheidstest jung,personality test jung,21,personal test,0.489
13,big five persoonlijkheidsmodel,big five personality model,4,describe personal development,0.340
14,persoonlijke testen,personal tests,21,personal test,0.965
15,disc persoonlijkheid,disc personality,34,disc personality,1.000
16,online persoonlijkheidstest,online personality test,21,personal test,0.570
17,thomas test persoonlijkheid,thomas personality test,21,personal test,0.510
18,persoonlijk profiel analyse,personal profile analysis,49,profile analysis,0.845
19,disk persoonlijkheidstest,disk personality test,21,personal test,0.514
20,persoonlijke kwaliteiten test,personal qualities test,21,personal test,0.675
21,zelftest persoonlijkheid,self test personality,21,personal test,0.673
22,sterke punten persoonlijkheid,strengths personality,4,describe personal development,0.382
23,persoonlijkheidstesten soorten,personality tests types,21,personal test,0.522
24,gedragsstijlen test,behavioral style test,11,leadership styles,0.347
25,test je gedrag,test your behavior,20,job test,0.476
26,abstract redeneervermogen,abstract reasoning ability,33,abstract reasoning why,0.777
27,abstract redeneren,abstract reasoning,33,abstract reasoning why,0.911
28,numeriek redeneren,numerical reasoning,14,logical reasoning,0.490
29,inductief redeneren,inductive reasoning,14,logical reasoning,0.600
30,redeneertesten,reasoning tests,27,reasoning tests,1.000
31,deductief redeneren,deductive reasoning,14,logical reasoning,0.683
32,test abstract redeneervermogen,test abstract reasoning ability,27,reasoning tests,0.796
33,numeriek redeneervermogen,numerical reasoning ability,14,logical reasoning,0.508
34,verbaal redeneervermogen,verbal reasoning ability,27,reasoning tests,0.609
35,redeneren betekenis,reason meaning,73,reason meaning,1.000
36,deductief redeneren test,deductive reasoning test,27,reasoning tests,0.819
37,abstract redeneren hudson,abstract reasoning hudson,33,abstract reasoning why,0.639
38,redenering betekenis,reasoning meaning,73,reason meaning,0.636
39,test logisch redeneren,test logical reasoning,14,logical reasoning,0.775
40,verbaal redeneren oefenen,practice verbal reasoning,27,reasoning tests,0.633
41,test inductief redeneren,test inductive reasoning,27,reasoning tests,0.741
42,abstract redeneren waarom,abstract reasoning why,33,abstract reasoning why,1.000
43,test abstract redeneervermogen boek,test abstract reasoning book,27,reasoning tests,0.668
44,abstract redeneervermogen hudson,abstract reasoning hudson,33,abstract reasoning why,0.639
45,redeneringstesten oefenen,practice reasoning tests,27,reasoning tests,0.927
46,numeriek redeneren hudson,numerical reasoning hudson,33,abstract reasoning why,0.251
47,numerieke reeksen oefenen,practice numerical sequences,16,practice assessment,0.180
48,verbaal redeneren test,verbal reasoning test,27,reasoning tests,0.821
49,wat is verbaal redeneren,what is verbal reasoning,17,what is abstract reasoning,0.527
50,verbaal abstract redeneren betekenis,verbal abstract reasoning meaning,73,reason meaning,0.387
51,logisch redeneervermogen,logical reasoning,14,logical reasoning,1.000
52,logisch redeneren betekenis,logical reasoning meaning,14,logical reasoning,0.825
53,inductief logisch redeneren,inductive logical reasoning,14,logical reasoning,0.747
54,wat is abstract redeneren,what is abstract reasoning,17,what is abstract reasoning,1.000
55,abstract redeneervermogen domino,abstract reasoning dominoes,33,abstract reasoning why,0.682
56,abstracte redeneertest hudson,abstract reasoning test hudson,33,abstract reasoning why,0.546
57,numerical reasoning test nederlands,numerical reasoning test nederlands,41,numerical tests,0.685
58,verbal reasoning test nederlands,verbal reasoning test nederlands,27,reasoning tests,0.693
59,numeriek redeneren betekenis,numerical reasoning meaning,73,reason meaning,0.323
60,iq test,iq test,18,iq test,1.000
61,emotionele intelligentie,emotional intelligence,55,emotional intelligence,1.000
62,test intelligence,test intelligence,2,test intelligence,1.000
63,iq test nederlands,iq test netherlands,18,iq test,0.764
64,emotioneel intelligent,emotionally intelligent,55,emotional intelligence,0.879
65,intelligentietest psycholoog,intelligence test psychologist,2,test intelligence,0.827
66,iq test training,iq test training,18,iq test,0.848
67,gratis online iq test,free online iq test,18,iq test,0.695
68,intelligentie structuur test,intelligence structure test,2,test intelligence,0.797
69,algemene intelligentie,general intelligence,2,test intelligence,0.672
70,lage emotionele intelligentie,low emotional intelligence,55,emotional intelligence,0.855
71,hoge emotionele intelligentie,high emotional intelligence,55,emotional intelligence,0.907
72,numerieke intelligentie,numerical intelligence,41,numerical tests,0.500
73,general intelligence test,general intelligence test,2,test intelligence,0.861
74,cognitieve intelligentie test,cognitive intelligence test,2,test intelligence,0.776
75,intelligentietest volwassenen,intelligence test adults,2,test intelligence,0.813
76,intelligentie test oefenen,practice intelligence test,2,test intelligence,0.874
77,intelligentieonderzoek volwassenen,intelligence research adults,2,test intelligence,0.657
78,teique test,test to you,20,job test,0.565
79,eq test scores,eq test scores,67,eq test meaning,0.768
80,hoe werkt een iq test,how does an iq test work,85,how does an iq test work,1.000
81,onderdelen iq test,parts iq test,18,iq test,0.687
82,online iq test nederlands,online iq test dutch,18,iq test,0.655
83,iq test belgië,iq test belgium,18,iq test,0.733
84,uitleg iq testen,explanation iq testing,18,iq test,0.838
85,eq test gratis,free eq test,67,eq test meaning,0.778
86,eq test betekenis,eq test meaning,67,eq test meaning,1.000
87,eigenschappen leiderschap,leadership qualities,32,situational leadership,0.643
88,leiderschapskwaliteiten test,leadership qualities test,32,situational leadership,0.547
89,leiderschap kenmerken,leadership characteristics,46,leadership characteristics,1.000
90,leiderschapsstijlen kleuren,coloring leadership styles,11,leadership styles,0.768
91,leider eigenschappen,leader traits,89,leader traits,1.000
92,kwaliteiten van een leider,qualities of a leader,24,qualities of a leader,1.000
93,kenmerken leiderschap,characteristics of leadership,46,leadership characteristics,0.979
94,leiderschap test,leadership test,11,leadership styles,0.664
95,situationeel leiderschap test,situational leadership test,11,leadership styles,0.591
96,kleuren leiderschap test,color leadership test,11,leadership styles,0.599
97,leiderschapsstijlen test hersey en blanchard,leadership styles test hersey and blanchard,11,leadership styles,0.722
98,test leiderschapsstijl,test leadership style,11,leadership styles,0.698
99,cognitieve test,cognitive test,84,cognitive skills test,0.899
100,cognitieve vaardigheden,cognitive skills,84,cognitive skills test,0.794
101,planningsvaardigheden testen,testing planning skills,74,testing planning skills,1.000
102,cognitieve vaardigheden test,cognitive skills test,84,cognitive skills test,1.000
103,vaardigheden test,skills test,74,testing planning skills,0.680
104,cognitieve capaciteitentest,cognitive ability test,84,cognitive skills test,0.918
105,wat is een cognitieve test,what is a cognitive test,17,what is abstract reasoning,0.259
106,cognitieve test betekenis,cognitive test meaning,84,cognitive skills test,0.806
107,cognitieve vaardigheden test gratis,cognitive skills test free,84,cognitive skills test,0.784
108,cognitieve intelligentie test,cognitive intelligence test,2,test intelligence,0.776
109,ait betekenis,ait meaning,29,psychometric meaning,0.057
110,ait assessment,ait assessment,1,assessment training,0.488
111,ait test voorbeeld,ait test example,20,job test,0.406
112,teique,teik,10,remote management,0.110
113,teiq,teiq,10,remote management,0.086
114,teique assessment,teique assessment,1,assessment training,0.402
115,disc test,disc test,12,disc test,1.000
116,disc profiel,disc profile,87,disc profile,1.000
117,disc persoonlijkheidstest,disc personality test,12,disc test,0.761
118,disc model test,disc model test,12,disc test,0.892
119,disc profiel test,disc profile test,87,disc profile,0.831
120,disc test gratis,test disc for free,59,ppa test for free,0.572
121,disc persoonlijkheid,disc personality,34,disc personality,1.000
122,disc uitleg,disc explanation,34,disc personality,0.611
123,disc vragenlijst pdf,disc questionnaire pdf,68,disc questionnaire pdf,1.000
124,disc test nederlands,disc test nederlands,12,disc test,0.749
125,disc test download,disc test download,12,disc test,0.800
126,gia test oefenen,practice gia test,2,test intelligence,0.381
127,gia test gratis,gia test free,67,eq test meaning,0.285
128,gia test score,gia test score,20,job test,0.288
129,consciëntieusheid,conscientiousness,10,remote management,0.156
130,tascnet test,tascnet test,20,job test,0.408
131,psychotechnische testen oefenen,practice psychotechnical tests,2,test intelligence,0.425
132,analytische test,analytical test,20,job test,0.348
133,welke kleur ben ik test,what color am i testing,20,job test,0.392
134,hersey en blanchard test,hersey in blanchard test,95,hersey in blanchard test,1.000
135,loopbaanbegeleiding online test,career guidance online test,76,career guidance online test,1.000
136,wat zijn mijn zwakke punten test,what are my weaknesses test,81,what are psychotechnical tests,0.409
137,wat is een assessment test,what is an assessment test,69,what is an online assessment,0.673
