id,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,persoonlijkheidstests,personality tests,55,personal test,0.639
1,persoonlijkheidstest,personality test,55,personal test,0.685
2,verschillende persoonlijkheden,different personalities,5,disc personality,0.537
3,persoonlijkheidstypen kleuren,personality types coloring,5,disc personality,0.405
4,persoonlijkheidstest psychologie,personality test psychology,55,personal test,0.610
5,persoonlijkheidsvragenlijst,personality questionnaire,5,disc personality,0.513
6,persoonlijkheidstest mbti,personality test mbti,55,personal test,0.511
7,persoonlijkheid kenmerken,personality traits,5,disc personality,0.586
8,disc persoonlijkheidstest,disc personality test,55,personal test,0.525
9,jung persoonlijkheidstest,jung personality test,55,personal test,0.515
10,personaliteits test,personality test,55,personal test,0.685
11,persoonlijk test,personal test,55,personal test,1.000
12,persoonlijkheidstest jung,personality test jung,55,personal test,0.489
13,big five persoonlijkheidsmodel,big five personality model,5,disc personality,0.444
14,persoonlijke testen,personal tests,55,personal test,0.965
15,disc persoonlijkheid,disc personality,5,disc personality,1.000
16,online persoonlijkheidstest,online personality test,55,personal test,0.570
17,thomas test persoonlijkheid,thomas personality test,55,personal test,0.510
18,persoonlijk profiel analyse,personal profile analysis,43,profile analysis,0.845
19,disk persoonlijkheidstest,disk personality test,55,personal test,0.514
20,persoonlijke kwaliteiten test,personal qualities test,55,personal test,0.675
21,zelftest persoonlijkheid,self test personality,9,self test personality,1.000
22,sterke punten persoonlijkheid,strengths personality,5,disc personality,0.429
23,persoonlijkheidstesten soorten,personality tests types,55,personal test,0.522
24,gedragsstijlen test,behavioral style test,4,numerical tests,0.441
25,test je gedrag,test your behavior,4,numerical tests,0.357
26,abstract redeneervermogen,abstract reasoning ability,74,abstract reasoning ability,1.000
27,abstract redeneren,abstract reasoning,6,abstract reasoning why,0.911
28,numeriek redeneren,numerical reasoning,16,logical reasoning,0.490
29,inductief redeneren,inductive reasoning,16,logical reasoning,0.600
30,redeneertesten,reasoning tests,35,reasoning tests,1.000
31,deductief redeneren,deductive reasoning,16,logical reasoning,0.683
32,test abstract redeneervermogen,test abstract reasoning ability,74,abstract reasoning ability,0.867
33,numeriek redeneervermogen,numerical reasoning ability,16,logical reasoning,0.508
34,verbaal redeneervermogen,verbal reasoning ability,16,logical reasoning,0.522
35,redeneren betekenis,reason meaning,26,reason meaning,1.000
36,deductief redeneren test,deductive reasoning test,35,reasoning tests,0.819
37,abstract redeneren hudson,abstract reasoning hudson,6,abstract reasoning why,0.639
38,redenering betekenis,reasoning meaning,26,reason meaning,0.636
39,test logisch redeneren,test logical reasoning,35,reasoning tests,0.879
40,verbaal redeneren oefenen,practice verbal reasoning,16,logical reasoning,0.567
41,test inductief redeneren,test inductive reasoning,35,reasoning tests,0.741
42,abstract redeneren waarom,abstract reasoning why,6,abstract reasoning why,1.000
43,test abstract redeneervermogen boek,test abstract reasoning book,74,abstract reasoning ability,0.676
44,abstract redeneervermogen hudson,abstract reasoning hudson,6,abstract reasoning why,0.639
45,redeneringstesten oefenen,practice reasoning tests,28,practice reasoning tests,1.000
46,numeriek redeneren hudson,numerical reasoning hudson,6,abstract reasoning why,0.251
47,numerieke reeksen oefenen,practice numerical sequences,28,practice reasoning tests,0.199
48,verbaal redeneren test,verbal reasoning test,35,reasoning tests,0.821
49,wat is verbaal redeneren,what is verbal reasoning,39,what is talent,0.145
50,verbaal abstract redeneren betekenis,verbal abstract reasoning meaning,26,reason meaning,0.387
51,logisch redeneervermogen,logical reasoning,16,logical reasoning,1.000
52,logisch redeneren betekenis,logical reasoning meaning,16,logical reasoning,0.825
53,inductief logisch redeneren,inductive logical reasoning,16,logical reasoning,0.747
54,wat is abstract redeneren,what is abstract reasoning,6,abstract reasoning why,0.818
55,abstract redeneervermogen domino,abstract reasoning dominoes,6,abstract reasoning why,0.682
56,abstracte redeneertest hudson,abstract reasoning test hudson,6,abstract reasoning why,0.546
57,numerical reasoning test nederlands,numerical reasoning test nederlands,35,reasoning tests,0.613
58,verbal reasoning test nederlands,verbal reasoning test nederlands,35,reasoning tests,0.693
59,numeriek redeneren betekenis,numerical reasoning meaning,26,reason meaning,0.323
60,iq test,iq test,63,iq test,1.000
61,emotionele intelligentie,emotional intelligence,25,emotional intelligence training,0.836
62,test intelligence,test intelligence,52,test intelligence,1.000
63,iq test nederlands,iq test netherlands,63,iq test,0.764
64,emotioneel intelligent,emotionally intelligent,25,emotional intelligence training,0.688
65,intelligentietest psycholoog,intelligence test psychologist,52,test intelligence,0.827
66,iq test training,iq test training,63,iq test,0.848
67,gratis online iq test,free online iq test,63,iq test,0.695
68,intelligentie structuur test,intelligence structure test,52,test intelligence,0.797
69,algemene intelligentie,general intelligence,25,emotional intelligence training,0.522
70,lage emotionele intelligentie,low emotional intelligence,25,emotional intelligence training,0.718
71,hoge emotionele intelligentie,high emotional intelligence,25,emotional intelligence training,0.764
72,numerieke intelligentie,numerical intelligence,25,emotional intelligence training,0.391
73,general intelligence test,general intelligence test,52,test intelligence,0.861
74,cognitieve intelligentie test,cognitive intelligence test,52,test intelligence,0.776
75,intelligentietest volwassenen,intelligence test adults,52,test intelligence,0.813
76,intelligentie test oefenen,practice intelligence test,52,test intelligence,0.874
77,intelligentieonderzoek volwassenen,intelligence research adults,25,emotional intelligence training,0.588
78,teique test,test to you,4,numerical tests,0.400
79,eq test scores,eq test scores,36,eq test meaning,0.768
80,hoe werkt een iq test,how does an iq test work,63,iq test,0.818
