id,Keyword,Keyword_ENG,cluster,LABELS,Semantic_score
0,persoonlijkheidstests,personality tests,18,personal test,0.639
1,persoonlijkheidstest,personality test,18,personal test,0.685
2,verschillende persoonlijkheden,different personalities,18,personal test,0.278
3,persoonlijkheidstypen kleuren,personality types coloring,18,personal test,0.173
4,persoonlijkheidstest psychologie,personality test psychology,18,personal test,0.610
5,persoonlijkheidsvragenlijst,personality questionnaire,18,personal test,0.437
6,persoonlijkheidstest mbti,personality test mbti,18,personal test,0.511
7,persoonlijkheid kenmerken,personality traits,18,personal test,0.294
8,disc persoonlijkheidstest,disc personality test,18,personal test,0.525
9,jung persoonlijkheidstest,jung personality test,18,personal test,0.515
10,personaliteits test,personality test,18,personal test,0.685
11,persoonlijk test,personal test,18,personal test,1.000
12,persoonlijkheidstest jung,personality test jung,18,personal test,0.489
13,big five persoonlijkheidsmodel,big five personality model,18,personal test,0.199
14,persoonlijke testen,personal tests,18,personal test,0.965
15,disc persoonlijkheid,disc personality,18,personal test,0.236
16,online persoonlijkheidstest,online personality test,18,personal test,0.570
17,thomas test persoonlijkheid,thomas personality test,18,personal test,0.510
18,persoonlijk profiel analyse,personal profile analysis,18,personal test,0.467
19,disk persoonlijkheidstest,disk personality test,18,personal test,0.514
20,persoonlijke kwaliteiten test,personal qualities test,18,personal test,0.675
21,zelftest persoonlijkheid,self test personality,18,personal test,0.673
22,sterke punten persoonlijkheid,strengths personality,18,personal test,0.269
23,persoonlijkheidstesten soorten,personality tests types,18,personal test,0.522
24,gedragsstijlen test,behavioral style test,5,iq test,0.277
25,test je gedrag,test your behavior,5,iq test,0.331
26,abstract redeneervermogen,abstract reasoning ability,23,abstract reasoning why,0.777
27,abstract redeneren,abstract reasoning,23,abstract reasoning why,0.911
28,numeriek redeneren,numerical reasoning,23,abstract reasoning why,0.448
29,inductief redeneren,inductive reasoning,23,abstract reasoning why,0.556
30,redeneertesten,reasoning tests,8,practice assessment tests,0.526
31,deductief redeneren,deductive reasoning,23,abstract reasoning why,0.560
32,test abstract redeneervermogen,test abstract reasoning ability,23,abstract reasoning why,0.670
33,numeriek redeneervermogen,numerical reasoning ability,23,abstract reasoning why,0.447
34,verbaal redeneervermogen,verbal reasoning ability,23,abstract reasoning why,0.412
35,redeneren betekenis,reason meaning,11,reason meaning,1.000
36,deductief redeneren test,deductive reasoning test,8,practice assessment tests,0.475
37,abstract redeneren hudson,abstract reasoning hudson,23,abstract reasoning why,0.639
38,redenering betekenis,reasoning meaning,11,reason meaning,0.636
39,test logisch redeneren,test logical reasoning,8,practice assessment tests,0.455
40,verbaal redeneren oefenen,practice verbal reasoning,8,practice assessment tests,0.360
41,test inductief redeneren,test inductive reasoning,8,practice assessment tests,0.459
42,abstract redeneren waarom,abstract reasoning why,23,abstract reasoning why,1.000
43,test abstract redeneervermogen boek,test abstract reasoning book,23,abstract reasoning why,0.589
44,abstract redeneervermogen hudson,abstract reasoning hudson,23,abstract reasoning why,0.639
45,redeneringstesten oefenen,practice reasoning tests,8,practice assessment tests,0.665
46,numeriek redeneren hudson,numerical reasoning hudson,23,abstract reasoning why,0.251
47,numerieke reeksen oefenen,practice numerical sequences,2,team performance,0.053
48,verbaal redeneren test,verbal reasoning test,8,practice assessment tests,0.477
49,wat is verbaal redeneren,what is verbal reasoning,10,what is abstract reasoning,0.527
50,verbaal abstract redeneren betekenis,verbal abstract reasoning meaning,23,abstract reasoning why,0.704
51,logisch redeneervermogen,logical reasoning,23,abstract reasoning why,0.567
52,logisch redeneren betekenis,logical reasoning meaning,11,reason meaning,0.507
53,inductief logisch redeneren,inductive logical reasoning,23,abstract reasoning why,0.513
54,wat is abstract redeneren,what is abstract reasoning,10,what is abstract reasoning,1.000
55,abstract redeneervermogen domino,abstract reasoning dominoes,23,abstract reasoning why,0.682
56,abstracte redeneertest hudson,abstract reasoning test hudson,23,abstract reasoning why,0.546
57,numerical reasoning test nederlands,numerical reasoning test nederlands,8,practice assessment tests,0.354
58,verbal reasoning test nederlands,verbal reasoning test nederlands,8,practice assessment tests,0.445
59,numeriek redeneren betekenis,numerical reasoning meaning,11,reason meaning,0.323
60,iq test,iq test,5,iq test,1.000
61,emotionele intelligentie,emotional intelligence,4,emotional intelligence training,0.836
62,test intelligence,test intelligence,14,test intelligence,1.000
63,iq test nederlands,iq test netherlands,5,iq test,0.764
64,emotioneel intelligent,emotionally intelligent,4,emotional intelligence training,0.688
65,intelligentietest psycholoog,intelligence test psychologist,14,test intelligence,0.827
66,iq test training,iq test training,5,iq test,0.848
67,gratis online iq test,free online iq test,5,iq test,0.695
68,intelligentie structuur test,intelligence structure test,14,test intelligence,0.797
69,algemene intelligentie,general intelligence,4,emotional intelligence training,0.522
70,lage emotionele intelligentie,low emotional intelligence,4,emotional intelligence training,0.718
71,hoge emotionele intelligentie,high emotional intelligence,4,emotional intelligence training,0.764
72,numerieke intelligentie,numerical intelligence,4,emotional intelligence training,0.391
73,general intelligence test,general intelligence test,14,test intelligence,0.861
74,cognitieve intelligentie test,cognitive intelligence test,14,test intelligence,0.776
75,intelligentietest volwassenen,intelligence test adults,14,test intelligence,0.813
76,intelligentie test oefenen,practice intelligence test,8,practice assessment tests,0.530
77,intelligentieonderzoek volwassenen,intelligence research adults,4,emotional intelligence training,0.588
78,teique test,test to you,5,iq test,0.416
79,eq test scores,eq test scores,5,iq test,0.393
80,hoe werkt een iq test,how does an iq test work,5,iq test,0.818
81,onderdelen iq test,parts iq test,5,iq test,0.687
82,online iq test nederlands,online iq test dutch,5,iq test,0.655
83,iq test belgië,iq test belgium,5,iq test,0.733
84,uitleg iq testen,explanation iq testing,5,iq test,0.838
85,eq test gratis,free eq test,5,iq test,0.289
86,eq test betekenis,eq test meaning,5,iq test,0.313
87,eigenschappen leiderschap,leadership qualities,16,qualities of a leader,0.911
88,leiderschapskwaliteiten test,leadership qualities test,16,qualities of a leader,0.768
89,leiderschap kenmerken,leadership characteristics,12,leadership styles,0.823
90,leiderschapsstijlen kleuren,coloring leadership styles,12,leadership styles,0.768
91,leider eigenschappen,leader traits,2,team performance,0.357
92,kwaliteiten van een leider,qualities of a leader,16,qualities of a leader,1.000
93,kenmerken leiderschap,characteristics of leadership,12,leadership styles,0.803
94,leiderschap test,leadership test,5,iq test,0.442
95,situationeel leiderschap test,situational leadership test,5,iq test,0.378
96,kleuren leiderschap test,color leadership test,5,iq test,0.368
97,leiderschapsstijlen test hersey en blanchard,leadership styles test hersey and blanchard,12,leadership styles,0.722
98,test leiderschapsstijl,test leadership style,12,leadership styles,0.698
99,cognitieve test,cognitive test,14,test intelligence,0.580
100,cognitieve vaardigheden,cognitive skills,2,team performance,0.287
101,planningsvaardigheden testen,testing planning skills,5,iq test,0.332
102,cognitieve vaardigheden test,cognitive skills test,14,test intelligence,0.635
103,vaardigheden test,skills test,5,iq test,0.561
104,cognitieve capaciteitentest,cognitive ability test,14,test intelligence,0.594
105,wat is een cognitieve test,what is a cognitive test,10,what is abstract reasoning,0.259
106,cognitieve test betekenis,cognitive test meaning,14,test intelligence,0.545
107,cognitieve vaardigheden test gratis,cognitive skills test free,14,test intelligence,0.523
108,cognitieve intelligentie test,cognitive intelligence test,14,test intelligence,0.776
109,ait betekenis,ait meaning,11,reason meaning,0.108
110,ait assessment,ait assessment,7,practice assessment,0.404
